zinc_id,smiles
ZINC000003977826,CC1(C)[C@@H](OC(=O)CCC(=O)O)CC[C@@]2(C)[C@@H]1CC[C@]1(C)[C@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C
ZINC000003993519,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/OC(C)(C)C
ZINC000004194762,CCOCC(=O)Nc1ccc(S(=O)(=O)Nc2cc(C)on2)cc1
ZINC000004212197,COc1cc(C(=O)Nc2c(Br)cc(Br)cc2CN(C)C2CCCCC2)ccc1OC(C)=O
ZINC000004212470,CN[C@@H]1CCN2c3ccccc3CCc3cccc1c32
ZINC000004212836,CCCCC[C@](C)(O)CC[C@@H]1CCC(=O)[C@@H]1CCCCCCC(=O)O
ZINC000169677006,CO[C@H]1C[C@H](O[C@@H]2/C(C)=C/C[C@@H]3C[C@@H](C[C@]4(CC[C@H](C)[C@@H](C5CCCCC5)O4)O3)OC(=O)[C@@H]3C=C(C)/C(=N/O)[C@H]4OC/C(=C\C=C\[C@@H]2C)[C@@]34O)O[C@@H](C)[C@@H]1O
ZINC000004213144,CCOC(=O)Nc1ccc(SC[C@H]2CO[C@](Cn3ccnc3)(c3ccc(OC)cc3)O2)cc1
ZINC000002166428,CCOC(=O)C[C@H](C)C(=O)OCC
ZINC000002578955,CCC[C@H](CC(=O)O)C(=O)O
ZINC000003604143,CC1(C)S[C@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@@H]1C(=O)O
ZINC000003604326,CCOc1cc([C@@H](Nc2ncc(Cc3cc(OC)c(OC)c(OC)c3)c(N)n2)S(=O)(=O)O)ccc1O
ZINC000003604392,N#Cc1ccc([C@H]([C@H](O)Cc2ccc(F)cc2)n2cncn2)cc1
ZINC000003608747,Cc1ccccc1OC[C@H](O)CN1C(C)(C)CCC1(C)C
ZINC000003612885,NS(=O)(=O)c1cc(S(=O)(=O)O)c(NCc2ccco2)cc1Oc1ccccc1
ZINC000003623418,O=C(O)CCCCc1ccc(CCCc2ccccc2)s1
ZINC000003630852,CN(C)CCCSc1c2ccccc2nn1Cc1ccccc1
ZINC000003649806,COC(=O)/C=C/c1ccccc1OC[C@@H](O)CNC(C)C
ZINC000003789788,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSc1cccs1)C(=O)NO
ZINC000003789196,COc1cc2c(cc1OC)CN(C(=O)[C@H](C)N[C@@H](CCc1ccccc1)C(=O)O)[C@H](C(=O)O)C2
ZINC000003796141,COc1ccccc1N1CCN(CCCNC(=O)c2cccc3c(=O)c(C)c(-c4ccccc4)oc23)CC1
ZINC000003805469,CC1(C)CCC[C@H](NC(=O)[C@H](S)Cc2ccccc2)C(=O)N1CC(=O)O
ZINC000019362613,CN1CCN(CC(=O)[C@@]2(O)CC[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@@]32C)CC1
